family,n_features,standalone,without_it,marginal_gain,share_of_full
mkt,159,0.10790776648220793,0.10925669008837502,0.021209697710737857,0.8270924665160513
ord,81,0.07386914433599842,0.1130955110285026,0.017370876770610277,0.5661929143753047
txn,52,0.08596900416073597,0.12226625604164125,0.008200131757471626,0.65893603410794
