block,gap_months,n,full,full_std,pruned,pruned_std,lift
36-40,2,88685,0.1295372817857059,0.002576565564840953,0.13104364677694966,0.0020967039461250894,0.0015063649912437638
42-46,8,88898,0.12545860222290117,0.0013096745221076046,0.12378379049705868,0.002349295891321678,-0.0016748117258424955
48-52,14,89096,0.1293451331804294,0.0009935599112303234,0.12625137686784962,0.002232190118474802,-0.0030937563125797707
54-58,20,88573,0.12735969351286855,0.0014127193918660153,0.1308155954030237,0.0023099572743215126,0.0034559018901551553
60-64,26,88704,0.12810107134808488,0.0012239411974250625,0.12660699804428246,0.0006235378299769321,-0.0014940733038024123
66-70,32,87079,0.13855596471148066,0.0016659737204609557,0.13504424711384055,0.002159710037970549,-0.0035117175976401016
