block,gap_months,n,full,full_std,pruned,pruned_std,lift
36-40,2,88685,0.1295372817857059,0.002576565564840953,0.1281478936701438,0.0002803787693868439,-0.0013893881155621068
42-46,8,88898,0.12545860222290117,0.0013096745221076046,0.12791226043471848,0.0008001703312083474,0.002453658211817311
48-52,14,89096,0.1293451331804294,0.0009935599112303234,0.13258574302631443,0.0008777801713582254,0.003240609845885034
54-58,20,88573,0.12735969351286855,0.0014127193918660153,0.12957255830024786,0.003048744352245104,0.0022128647873793095
60-64,26,88704,0.12810107134808488,0.0012239411974250625,0.12841771353678955,0.0004412080309297747,0.00031664218870466887
66-70,32,87079,0.13855596471148066,0.0016659737204609557,0.13789267829088656,0.0031141330419326182,-0.0006632864205941003
