model,cosine_mean,cosine_std,cosine_min,cosine_max,worst_fold
ensemble,0.14088164903297934,0.004129927478685334,0.13526908444940328,0.14404831600687887,2
lightgbm,0.13869070888869803,0.0033196982284326502,0.13484239477254834,0.14246239953330966,2
xgboost,0.13815413634853288,0.004707168718608691,0.1312505457725441,0.14191049299497216,2
ridge,0.1181288592159025,0.005011702420119812,0.11155911983460126,0.12378628743048632,2
mean,0.005880536067957832,0.013738247134152804,-0.00712169938216763,0.02193296712107529,5
zero,0.0,0.0,0.0,0.0,1
