group,n,cosine,y_norm,pred_norm,y_rms,weight,count_weight,contribution
Q1 (tightest),25915,0.1314832677281055,0.564677926890665,0.07587474324177952,0.003507722310302633,0.24394207127974482,0.24735134103273837,0.03207430066822328
Q2,25918,0.13523758853700033,0.5446628501411652,0.07117953148740175,0.0033831948540508304,0.22073517257363903,0.2473799751837358,0.029851692444157554
Q3,25892,0.13476532783118092,0.5272684927382856,0.0695181548911232,0.00327679310704414,0.20869820721594265,0.24713181254175814,0.028125282313236237
Q4 (widest),25909,0.19414873925762272,0.5634810159403144,0.09736838118051291,0.00350069249461301,0.3123819269351535,0.24729407273074352,0.06064855728132686
nan,1136,0.2083602473309662,0.05097348293923326,0.01675171921674031,0.0015123598651634836,0.0048617470039178275,0.010842798511024147,0.0010129948081969023
