families,n_families,n_features,cosine_mean,cosine_std,cosine_min,seconds
mkt+ord+txn,3,292,0.13046638779911288,0.008881270650641374,0.12109305383512173,100.5
mkt+ord,2,240,0.12226625604164125,0.004489079449869056,0.1156846169879936,82.0
mkt+txn,2,211,0.1130955110285026,0.008849068757042517,0.10260588544832569,56.0
ord+txn,2,133,0.10925669008837502,0.012122310694630604,0.10037061407113641,40.3
mkt,1,159,0.10790776648220793,0.00457083870159843,0.10147500952271851,61.2
txn,1,52,0.08596900416073597,0.008695314892081595,0.07741234737145897,22.3
ord,1,81,0.07386914433599842,0.01834834929316487,0.050773386605692875,22.7
