seed,fold,base,with_shape,diff
0,0,0.1389358934836272,0.13929844507651343,0.00036255159288622885
0,1,0.1416845816021321,0.14057580245000667,-0.0011087791521254275
0,2,0.14111218290893007,0.14218082359232198,0.0010686406833919082
1,0,0.13827866269435984,0.14182588513816602,0.003547222443806175
1,1,0.14106642882411466,0.14035680985694135,-0.0007096189671733089
1,2,0.14000047583963143,0.14047654087411382,0.0004760650344823869
