arm,window,months,gap_to_eval,cosine,seed_std,n_train
cumulative,0-51,52,14,0.14516977859433333,0.0003597881958108673,922243
cumulative,0-57,58,8,0.14503153812073993,0.0015381563998175252,1028716
cumulative,0-63,64,2,0.15273279980102855,0.00010824609350397474,1135127
fixed_window,0-51,52,14,0.14516977859433333,0.0003597881958108673,922243
fixed_window,6-57,52,8,0.1419831198524727,0.00150190479567279,922623
fixed_window,12-63,52,2,0.14307375418919466,0.0010126232241397803,923108
